Decimal Year_shoreline,region_8_1602
2019.20274,176.8769791
2019.290411,176.0296767
2019.334247,175.3496637
2019.421918,
2019.684932,183.421031
2019.728767,193.9460715
2019.772603,199.3257357
2019.816438,
2019.860274,
2020.035519,
2020.079235,
2020.122951,205.3309097
2020.166667,199.286309
2020.254098,197.0119896
2020.34153,180.9821674
2020.385246,
2020.428962,
2020.560109,
2020.647541,
2020.734973,199.8862219
2020.778689,203.0123245
2020.822404,
2020.909836,
2020.997268,
2021.041096,
2021.128767,192.0942489
2021.172603,192.0479242
2021.216438,199.1661544
2021.260274,200.1206139
2021.347945,
2021.391781,
2021.435616,188.3248016
2021.479452,
2021.523288,
2021.567123,
2021.610959,
2021.654795,198.1970732
2021.69863,
2021.742466,189.0772425
2021.786301,198.4971743
2021.830137,199.7863531
2021.873973,
2021.873973,
2021.887671,186.5683849
2021.939726,198.7251443
2021.961644,177.8615734
2021.983562,
2022.027397,201.5506851
2022.049315,
2022.071233,202.1035317
2022.093151,186.9573206
2022.115068,193.1124551
2022.158904,
2022.180822,202.5861331
2022.20274,
2022.224658,
2022.246575,
2022.268493,194.3853907
2022.290411,188.3540969
2022.312329,
2022.334247,194.870437
2022.356164,199.6052981
2022.378082,183.9864771
2022.465753,204.3620277
2022.487671,178.6626186
2022.509589,
2022.553425,199.3862013
2022.59726,198.5117556
2022.663014,199.102772
2022.684932,181.0376292
2022.706849,
2022.794521,190.7766462
2022.816438,182.0602559
2022.838356,201.3676432
2022.882192,203.1820194
2022.947945,178.8861547
2022.969863,190.1811811
2023.057534,
2023.079452,198.360789
2023.10137,
2023.123288,181.6296831
2023.145205,
2023.167123,185.4897032
2023.232877,206.3933051
2023.254795,175.2932762
2023.276712,201.8480278
2023.29863,183.1422726
2023.49589,201.1172274
2023.517808,202.2086367
2023.539726,
2023.561644,204.4964489
2023.671233,177.9352898
2023.693151,
2023.715068,196.2339438
2023.736986,199.1029766
2023.758904,200.4952618
2023.780822,187.5253194
2023.80274,199.3432685
2023.824658,
2023.868493,
2023.890411,202.2561738
2023.912329,
2023.934247,201.8341872
2023.956164,197.816278
2024,169.6454234
2024.065574,179.8248952
2024.10929,
2024.131148,
