DecimalYear,WaveHeight
2019,0.543266139
2019,0.543266139
2019,0.543266139
2019.002738,0.473886171
2019.002738,0.473886171
2019.002738,0.473886171
2019.005476,0.578271786
2019.005476,0.578271786
2019.005476,0.578271786
2019.008214,1.172288725
2019.008214,1.172288725
2019.008214,1.172288725
2019.010951,2.111090138
2019.010951,2.111090138
2019.010951,2.111090138
2019.013689,1.936457063
2019.013689,1.936457063
2019.013689,1.936457063
2019.019165,1.197925038
2019.019165,1.197925038
2019.019165,1.197925038
2019.021903,2.591639929
2019.021903,2.591639929
2019.021903,2.591639929
2019.024641,1.966414767
2019.024641,1.966414767
2019.024641,1.966414767
2019.027379,1.56364441
2019.027379,1.56364441
2019.027379,1.56364441
2019.030116,1.534673821
2019.030116,1.534673821
2019.030116,1.534673821
2019.032854,1.668878025
2019.032854,1.668878025
2019.032854,1.668878025
2019.03833,1.534544979
2019.03833,1.534544979
2019.03833,1.534544979
2019.041068,2.015317392
2019.041068,2.015317392
2019.041068,2.015317392
2019.043806,2.559175358
2019.043806,2.559175358
2019.043806,2.559175358
2019.046543,1.302420146
2019.046543,1.302420146
2019.046543,1.302420146
2019.049281,1.126582333
2019.049281,1.126582333
2019.049281,1.126582333
2019.052019,1.149918333
2019.052019,1.149918333
2019.052019,1.149918333
2019.057495,0.865368394
2019.057495,0.865368394
2019.057495,0.865368394
2019.060233,0.483688059
2019.060233,0.483688059
2019.060233,0.483688059
2019.062971,0.640195678
2019.062971,0.640195678
2019.062971,0.640195678
2019.065708,0.596124421
2019.065708,0.596124421
2019.065708,0.596124421
2019.068446,0.515290283
2019.068446,0.515290283
2019.068446,0.515290283
2019.073922,0.519403675
2019.073922,0.519403675
2019.073922,0.519403675
2019.07666,0.506163038
2019.07666,0.506163038
2019.07666,0.506163038
2019.079398,0.53117543
2019.079398,0.53117543
2019.079398,0.53117543
2019.082136,0.882017249
2019.082136,0.882017249
2019.082136,0.882017249
2019.084873,2.325555779
2019.084873,2.325555779
2019.084873,2.325555779
2019.087611,2.615904221
2019.087611,2.615904221
2019.087611,2.615904221
2019.093087,1.693163188
2019.093087,1.693163188
2019.093087,1.693163188
2019.095825,1.603340171
2019.095825,1.603340171
2019.095825,1.603340171
2019.098563,0.759221247
2019.098563,0.759221247
2019.098563,0.759221247
